id,date,month,nweek,dweek,day,nightdelmaxweek,delmaxmonth
1,2016-1-1,1,1,6,-8,-11
2,2016-1-2,1,1,7,-6,-13
3,2016-1-3,1,2,1,-6,-13
4,2016-1-4,1,2,2,-9,-10
5,2016-1-5,1,2,3,-7,-10
6,2016-1-6,1,2,4,-9,-13
7,2016-1-7,1,2,5,-8,-10
8,2016-1-8,1,2,6,-8,-14
9,2016-1-9,1,2,7,-6,-13
10,2016-1-10,1,3,1,-10,-13
11,2016-1-11,1,3,2,-7,-14
12,2016-1-12,1,3,3,-8,-11
13,2016-1-13,1,3,4,-10,-13
14,2016-1-14,1,3,5,-8,-12
15,2016-1-15,1,3,6,-8,-12
16,2016-1-16,1,3,7,-7,-15
17,2016-1-17,1,4,1,-9,-15
18,2016-1-18,1,4,2,-6,-14
19,2016-1-19,1,4,3,-8,-15
20,2016-1-20,1,4,4,-10,-13
21,2016-1-21,1,4,5,-9,-12
22,2016-1-22,1,4,6,-9,-14
23,2016-1-23,1,4,7,-11,-12
24,2016-1-24,1,5,1,-8,-16
25,2016-1-25,1,5,2,-8,-16
26,2016-1-26,1,5,3,-9,-14
27,2016-1-27,1,5,4,-8,-15
28,2016-1-28,1,5,5,-11,-13
29,2016-1-29,1,5,6,-8,-12
30,2016-1-30,1,5,7,-10,-13
31,2016-1-31,1,6,1,-11,-15
32,2016-2-1,2,6,2,-7,-14
33,2016-2-2,2,6,3,-9,-16
34,2016-2-3,2,6,4,-9,-15
35,2016-2-4,2,6,5,-11,-13
36,2016-2-5,2,6,6,-9,-15
37,2016-2-6,2,6,7,-9,-14
38,2016-2-7,2,7,1,-10,-14
39,2016-2-8,2,7,2,-7,-13
40,2016-2-9,2,7,3,-9,-16
41,2016-2-10,2,7,4,-8,-12
42,2016-2-11,2,7,5,-9,-16
43,2016-2-12,2,7,6,-8,-13
44,2016-2-13,2,7,7,-8,-13
45,2016-2-14,2,8,1,-7,-14
46,2016-2-15,2,8,2,-10,-13
47,2016-2-16,2,8,3,-6,-11
48,2016-2-17,2,8,4,-8,-14
49,2016-2-18,2,8,5,-10,-11
50,2016-2-19,2,8,6,-7,-15
51,2016-2-20,2,8,7,-8,-12
52,2016-2-21,2,9,1,-6,-15
53,2016-2-22,2,9,2,-7,-13
54,2016-2-23,2,9,3,-8,-14
55,2016-2-24,2,9,4,-6,-14
56,2016-2-25,2,9,5,-6,-13
57,2016-2-26,2,9,6,-9,-12
58,2016-2-27,2,9,7,-6,-10
59,2016-2-28,2,10,1,-7,-13
